1,1/5/2014 00:00:00,"36HS",7
2,1/5/2014 00:00:00,"50OT",19
3,3/5/2014 00:00:00,"85RP",4
4,4/5/2014 00:00:00,"85RP",17
5,5/5/2014 00:00:00,"59KE",17
6,6/5/2014 00:00:00,"28PL",16
7,6/5/2014 00:00:00,"65SS",20
8,7/5/2014 00:00:00,"60PN",6
9,7/5/2014 00:00:00,"79BC",14
10,8/5/2014 00:00:00,"57MS",14
11,9/5/2014 00:00:00,"35VK",11
12,9/5/2014 00:00:00,"50OT",18
13,9/5/2014 00:00:00,"59KE",22
14,9/5/2014 00:00:00,"79BC",23
15,10/5/2014 00:00:00,"67JH",24
16,11/5/2014 00:00:00,"27AR",11
17,12/5/2014 00:00:00,"55MJ",5
18,12/5/2014 00:00:00,"76CJ",2
19,13/5/2014 00:00:00,"22FA",18
20,13/5/2014 00:00:00,"35VK",9
21,13/5/2014 00:00:00,"55MJ",16
22,14/5/2014 00:00:00,"55MJ",17
23,14/5/2014 00:00:00,"96DJ",24
24,15/5/2014 00:00:00,"49NJ",3
25,15/5/2014 00:00:00,"85RP",11
26,16/5/2014 00:00:00,"31KM",6
27,16/5/2014 00:00:00,"50OT",18
28,19/5/2014 00:00:00,"19MS",8
29,19/5/2014 00:00:00,"28PL",22
30,19/5/2014 00:00:00,"67JH",2
31,20/5/2014 00:00:00,"22FA",4
32,20/5/2014 00:00:00,"66BS",5
33,22/5/2014 00:00:00,"67JH",9
34,24/5/2014 00:00:00,"27AR",12
35,24/5/2014 00:00:00,"55MJ",14
36,24/5/2014 00:00:00,"79BC",20
37,24/5/2014 00:00:00,"85RP",21
38,25/5/2014 00:00:00,"67JH",23
39,26/5/2014 00:00:00,"17LR",1
40,26/5/2014 00:00:00,"17LR",13
41,27/5/2014 00:00:00,"28PL",18
42,27/5/2014 00:00:00,"50OT",21
43,28/5/2014 00:00:00,"28PL",17
44,28/5/2014 00:00:00,"79BC",5
45,29/5/2014 00:00:00,"22FA",1
46,29/5/2014 00:00:00,"49NJ",9
47,31/5/2014 00:00:00,"27AR",8
48,31/5/2014 00:00:00,"36HS",15
49,31/5/2014 00:00:00,"36HS",20
50,31/5/2014 00:00:00,"67JH",5
